shop_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,payout_period,approval_rate,offer_score,recommend_score,avg_order_value,application_review,offer_status,program_id,mkp_listing_id,apply_url,hashtags,shop_plan
57012,3D Photo Gifts - Memories Forever Engraved in Brilliant Crystals,https://www.3dphotogifts.com,3d-gifts-llc.myshopify.com,"Art, Mom & Kids, Others",10% per order,30,No data yet,,13.04%,0.74,,173.5,manual,2,64020,12486,https://af.uppromote.com/3d-gifts-llc/register,[],Free
85498,3D SHOE CHARMS,https://www.3dshoecharms.com,info-2256546785.myshopify.com,Others,10% per order,30,2%,,88.16%,2.2,2.2,539.1,auto,2,97847,20673,https://af.uppromote.com/3dshoecharms/register,[],Free
52346,3DHUB CANADA,https://3dhub.ca,3dhubca.myshopify.com,Electronics,10% per order,30,61.03%,,40.63%,0.85,0.87,0,manual,2,58517,11408,https://af.uppromote.com/3DHUBCA/register,[],Free
172817,3DOffice,https://3doffice.store,f7db9c-80.myshopify.com,Home & Tools,15% per order,30,No data yet,,46.15%,1.05,1.28,0,manual,2,196642,32871,https://af.uppromote.com/f7db9c-80/register,"[""#homedecor"", ""#sculptures"", ""#ornament"", ""#finacedecor"", ""#symbolicdecor"", ""#3dlineart""]",Free
198842,3DPrinta,https://3dprinta.no/,f001hd-ih.myshopify.com,"Fashion, Home & Tools",10% per order,30,No data yet,,100%,1.34,1.51,370.45,auto,2,227432,34819,https://af.uppromote.com/3dprinta/register,"[""""]",Free
108651,3DWorld,https://38dc30-3.myshopify.com,38dc30-3.myshopify.com,"Home & Tools, Computers & Office, Electronics",10% per order,30,No data yet,,40%,0.75,,0,manual,2,123375,25580,https://af.uppromote.com/3dgate/register,"[""#3dprinter"", "" #3dprinting"", ""#anycubic"", ""#artillery"", ""#additivemanufacturing"", ""#kingroon"", ""#mingda"", ""#longer"", ""#"", ""#sunlu"", ""#tevoup"", ""#twotrees"", ""#biqu"", ""#tronxy""]",Free
141620,3Dinnovation,https://3dinnovation.com,3d-innovation-shop.myshopify.com,"Home & Tools, Art, Jewelry & Accessories",20% per order,30,58.3%,10th each month,100%,,,132.9,manual,2,164439,40074,https://af.uppromote.com/3Dinnovation/register,"[""""]",Professional
157994,3J,https://3jnail.com,0df7b1-d2.myshopify.com,"Fashion, Beauty & Health",10% per order,30,No data yet,,100%,1.1,,0,auto,2,179716,31158,https://af.uppromote.com/3jnail/register,"[""""]",Free
68128,3R Candles,https://3rcandles.com,3r-candles.myshopify.com,"Home & Tools, Others",22% per order,30,No data yet,,0%,,,,manual,2,77531,16146,https://af.uppromote.com/3r-candles/register,[],Free
336,4 Curls,https://4-curls.myshopify.com,4-curls.myshopify.com,Beauty & Health,20% per order,30,92.31%,,27.14%,0.85,1.02,0,manual,2,401,9932,https://af.uppromote.com/4curls/register,[],Free
91280,4 u n me skin,https://4unmeskin.com,4unmeskin-223.myshopify.com,Beauty & Health,15% per order,30,No data yet,,80%,0.8,1.02,0,auto,2,104168,21897,https://af.uppromote.com/4unmeskin-223/register,"[""""]",Free
49484,4.5.6 Skin,https://456skin.com,4-5-6-skin.myshopify.com,Beauty & Health,10% per order,30,No data yet,,3.57%,0.75,,,manual,2,55232,10044,https://af.uppromote.com/4-5-6-skin/register,[],Free
30321,444 Swim,https://www.444swim.com,444-swim.myshopify.com,Fashion,10% per order,30,No data yet,,3.57%,0.77,0.77,19.9,manual,2,32984,4214,https://af.uppromote.com/444-swim/register,[],Free
155003,49 Street,https://49street.co.uk,080664-74.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",20% per order,30,0%,,16.67%,0.72,0.94,0,manual,2,176248,30770,https://af.uppromote.com/49streetUK/register,"[""""]",Free
139686,4D Herbs,https://4dherbs.com,4d-herbs.myshopify.com,"Beauty & Health, Grocery & Food",20% per order,30,No data yet,,100%,0.92,1.23,0,auto,2,158229,29253,https://af.uppromote.com/4d-herbs/register,"[""""]",Free
146227,4Joy Paddles,https://4joypaddles.com,cfff40-3.myshopify.com,Sports & Entertainment,15% per order,30,0%,"All commissions are subject to a 14-day holding period to allow for order processing, returns, or cancellations. Commissions may be adjusted or voided if an order is refunded or disputed.",93.1%,1.34,1.53,56.9,manual,2,165993,30386,https://af.uppromote.com/cfff40-3/register,"[""#pickleball"", ""#4joypaddles"", ""#pickleballpaddles"", ""#weplay4joy""]",Free
156881,5 Jackalope Ranch ,https://5jackaloperanch.com,61b02b.myshopify.com,"Grocery & Food, Others",10% per order,30,No data yet,,8.33%,0.67,0.74,40.2,manual,2,178488,31023,https://af.uppromote.com/61b02b/register,"[""#beef"", ""#beefjerky"", ""#outdoors"", ""#camping"", ""#fishing"", ""#hunting"", ""#travel"", ""#snacks"", ""#hiking""]",Free
195252,5 Panel hat,https://5-panelhat.com,z9zknv-tt.myshopify.com,"Fashion, Sports & Entertainment",20% per order,30,No data yet,,11.11%,0.67,0.74,,manual,2,222789,34448,https://af.uppromote.com/z9zknv-tt/register,"[""#fashion"", ""#hats"", ""#5-panelhat"", ""#streetwear""]",Free
12390,51Trips,https://51-trips.myshopify.com/,51-trips.myshopify.com,Books,15% per order,30,72.01%,,65.24%,1.5,1.53,31.86,manual,2,13393,798,https://af.uppromote.com/51trips/register,[],Free
31351,52 Wonders,https://52-wonders.com,52-wonders.myshopify.com,Others,5% per order,30,No data yet,,48.28%,0.82,0.82,0,manual,2,34159,4505,https://af.uppromote.com/52wonders/register,[],Free
142314,5HEAD,https://5head.de,5head4-pro-2.myshopify.com,Others,30% per order,30,0%,,100%,1.32,1.45,0,auto,2,161381,30101,https://af.uppromote.com/5head4-pro-2/register,"[""""]",Free
104832,6ixmerchandise,https://6ixmerchandise.ca,6ixmerchandise-3957.myshopify.com,Fashion,10% per order,30,No data yet,,15.49%,1.8599999999999999,2.25,68.92,manual,2,119055,24716,https://af.uppromote.com/6ixmerchandise-3957/register,"[""""]",Free
47229,7 Day Addiction,https://7dayaddiction.com,7-day-addiction.myshopify.com,"Sports & Entertainment, Others",5% per order,30,No data yet,,99.47%,1.8399999999999999,1.84,106.1,auto,2,53234,9501,https://af.uppromote.com/7-day-addiction/register,[],Professional
