Shop ID,Tên dự án,Website,Ngành hàng,Hoa hồng,Cookie (ngày),Tỷ lệ chi trả (Payout Rate),Tỷ lệ duyệt (Approval Rate),Điểm Offer (Offer Score),Traffic T6/2026,Traffic T7/2026,Traffic T8/2026,Tăng trưởng (%),Search Ads,Link đăng ký,Quốc gia cho phép
74745,Lockeroom,https://lockeroom.online,"Sports & Entertainment, Beauty & Health",10% per order,90,85.92%,99.21%,2.4699999999999998,2550,2663,3091,+21.2%,Cho phép,https://partners.lockeroom.online/lockeroom/register,Toàn cầu (Không giới hạn)
63510,Enjoy The Wood,https://enjoythewood.com,"Home & Tools, Garden & Outdoors, Art",15% per order,7,91.41%,99.19%,4.12,100233,117810,142455,+42.1%,Cho phép,https://af.uppromote.com/enjoythewood/register,"Belarus, Russia"
102586,RETECHTRONICS,https://retechtronics.com,"Computers & Office, Electronics",15% per order,30,25.93%,99.12%,1.9,9654,17329,19367,+100.6%,Cho phép,https://af.uppromote.com/wil-estate-investment-llc/register,Toàn cầu (Không giới hạn)
244938,Jaca,https://jacasugar.com,"Food, Beverages & Tobacco",15% per order,60,81.82%,99%,3.24,5081,6701,8137,+60.1%,Cho phép,https://af.uppromote.com/y5vhmt-c2/register,Toàn cầu (Không giới hạn)
108502,MYXCAPE,https://myxcape.com,Beauty & Health,10%-15% per order,60,89.61%,98.98%,2.39,394,516,589,+49.5%,Cho phép,https://af.uppromote.com/xcape-by-edith-delight/register,Toàn cầu (Không giới hạn)
198906,RayCue,https://www.raycue.com,"Computers & Office, Gaming, Electronics",10% per order,30,50.7%,98.92%,3.12,35758,43528,49441,+38.3%,Cho phép,https://af.uppromote.com/raycue/register,Toàn cầu (Không giới hạn)
283149,MASON US,https://masonclothing.com,Fashion,15% per order,30,0%,98.88%,,30922,46148,68178,+120.5%,Cho phép,https://af.uppromote.com/vxfy2k-ag/register,Toàn cầu (Không giới hạn)
152140,TheLibraryCloset,https://thelibrarycloset.com,Fashion,$10.00 per order,30,93.54%,98.84%,4.25,5709,8227,25410,+345.1%,Cho phép,https://affiliates.thelibrarycloset.com/bcfcd2/register,Toàn cầu (Không giới hạn)
195156,Fishing Superstore,https://fishingsuperstore.com.au,"Garden & Outdoors, Sports & Entertainment",15% per order,30,96.08%,98.77%,3.5300000000000002,7306,7765,8302,+13.6%,Cho phép,https://af.uppromote.com/fishing-superstore-au/register,Toàn cầu (Không giới hạn)
123703,MILA MVMT,https://milamvmt.com,Fashion,15% per order,15,53.85%,98.77%,1.6600000000000001,1281,1902,2242,+75.0%,Cho phép,https://af.uppromote.com/milamvmt/register,Toàn cầu (Không giới hạn)
199322,Magcubic™,https://magcubic.com,"Home & Tools, Electronics",6% per order,30,76.18%,98.75%,3.83,162090,187495,226956,+40.0%,Cho phép,https://af.uppromote.com/98e523-65/register,"Australia, Austria, Belgium, Bulgaria, Canada, Chile, Croatia, Cyprus, Czech Republic, Denmark, Egypt, Finland, France, Germany, Greece, Hungary, Italy, Latvia, Lithuania, Luxembourg, Malaysia, Netherlands, Norway, Poland, Portugal, Romania, Russia, Spain, Sweden, Switzerland, Taiwan, United Arab Emirates, United Kingdom, United States"
100990,MOBO,https://mymobo.com,"Sports & Entertainment, Beauty & Health, Wellness & Lifestyle",15% per order,60,46.15%,98.65%,2.26,2351,2756,3395,+44.4%,Cho phép,https://af.uppromote.com/mobo-affiliate/register,Toàn cầu (Không giới hạn)
90298,QuoteMyWall,https://www.quotemywall.co.uk,"Beauty & Health, Home & Tools, Mom & Kids",10% per order,30,61.31%,98.62%,4.07,11555,12646,14238,+23.2%,Cho phép,https://af.uppromote.com/quotemywall/register,Toàn cầu (Không giới hạn)
129749,Luca's Gift,https://lucasgift.com,"Fashion, Jewelry & Accessories, Home & Tools",5% per order,30,60.32%,98.61%,1.92,24140,24646,27530,+14.0%,Cho phép,https://affiliate.lucasgift.com/lucasgift/register,Toàn cầu (Không giới hạn)
153249,Lombardi Golf,https://lombardigolf.com,Sports & Entertainment,10% per order,60,82.76%,98.56%,2.44,1681,1870,2190,+30.3%,Cho phép,https://af.uppromote.com/075fda-3/register,Toàn cầu (Không giới hạn)
203940,Crossbank Clothing,https://crossbankclothing.com,"Fashion, Sports & Entertainment, Toys & Hobbies",15% per order,30,100%,98.51%,1.55,1385,2798,3408,+146.1%,Cho phép,https://af.uppromote.com/615d5f-b9/register,Toàn cầu (Không giới hạn)
232529,otakurug,https://otakurug.com,"Art, Home & Tools",10% per order,30,97.37%,98.48%,2.84,7334,16538,23821,+224.8%,Cho phép,https://af.uppromote.com/h8ztiv-eg/register,Toàn cầu (Không giới hạn)
122296,TB Cosmetics,https://tbcosmeticsofficial.com,Beauty & Health,25% per order,30,96.6%,98.42%,3.41,1306,1646,2556,+95.7%,Cho phép,https://affiliates.tbcosmeticsofficial.com/tbcosmetics/register,Toàn cầu (Không giới hạn)
264837,SammiBee,https://www.sammibeejewelry.com,,20% per order,30,No data yet,98.28%,1.67,706,1335,1806,+155.8%,Cho phép,https://af.uppromote.com/ifsbei-mm/register,Toàn cầu (Không giới hạn)
238869,Motivo Decor,https://motivodecor.com,"Art, Furniture, Garden & Outdoors",10% per order,30,14.29%,98.21%,2.1,4416,7487,8001,+81.2%,Cho phép,https://af.uppromote.com/motivodecor/register,Toàn cầu (Không giới hạn)
239809,Arq8,https://arq-8.com,Health & Beauty,25% per order,30,85.81%,98.17%,3.86,14204,20045,37161,+161.6%,Cho phép,https://af.uppromote.com/0pgdfx-sp/register,Toàn cầu (Không giới hạn)
83740,Amor Custom Gifts,https://www.amorcustomgifts.com,"Home & Tools, Mom & Kids, Toys & Hobbies",10% per order,2,80%,98.13%,2.87,9643,10539,17147,+77.8%,Cho phép,https://af.uppromote.com/amorcustomgifts/register,Toàn cầu (Không giới hạn)
254991,RHINOBUILD,https://www.rhinobuild.co.uk,Business & Industrial,8% per order,30,77.14%,98.08%,3.26,8121,11437,14356,+76.8%,Cho phép,https://af.uppromote.com/rhino-build/register,Toàn cầu (Không giới hạn)
262132,GOOBS,https://trygoobs.com,"Food, Beverages & Tobacco",15% per order,30,0%,98.04%,1.72,359,433,3395,+845.7%,Cho phép,https://af.uppromote.com/czzwsn-h1/register,Toàn cầu (Không giới hạn)
220011,RebirthAthletics,https://rebirthathletics.com,Fashion,10% per order,30,45%,98.01%,2.5,615,1529,2229,+262.4%,Cho phép,https://af.uppromote.com/rebirthathletics/register,Toàn cầu (Không giới hạn)
158514,Erayak Power,https://erayakpower.com,"Home & Tools, Garden & Outdoors",7% per order,30,95.97%,97.99%,3.68,46924,57088,64669,+37.8%,Cho phép,https://af.uppromote.com/erayakpower/register,Toàn cầu (Không giới hạn)
166989,Glamour Boutique,https://www.theglamourboutiques.com,"Home & Tools, Beauty & Health, Mom & Kids",15% per order,30,100%,97.92%,3.22,2626,2690,3506,+33.5%,Cho phép,https://af.uppromote.com/GlamourBoutique/register,Toàn cầu (Không giới hạn)
