Shop ID,Tên dự án,Website,Ngành hàng,Hoa hồng,Cookie (ngày),Tỷ lệ chi trả (Payout Rate),Tỷ lệ duyệt (Approval Rate),Điểm Offer (Offer Score),Traffic T6/2026,Traffic T7/2026,Traffic T8/2026,Tăng trưởng (%),Search Ads,Link đăng ký,Quốc gia cho phép
11448,CleanAF CBD,https://cleanafcbd.com,"Beauty & Health, Others, Wellness & Lifestyle",20% per order,30,23.17%,37.08%,3.44,14431,19116,22941,+59.0%,Cho phép,https://af.uppromote.com/cleanaf-cbd/register,Toàn cầu (Không giới hạn)
86685,Heritage Traditions,https://www.heritage-traditions.com,Fashion,10% per order,30,90.94%,35.9%,3.68,6904,9662,11550,+67.3%,Cho phép,https://af.uppromote.com/heritage-traditions-country-goods/register,Toàn cầu (Không giới hạn)
211587,Value Blinds,https://valueblindsdirect.com,"Home & Tools, Garden & Outdoors",10% per order,30,0%,35.48%,1.42,4267,8367,10180,+138.6%,Cho phép,https://af.uppromote.com/nacd0k-04/register,Toàn cầu (Không giới hạn)
69485,YG COLLECTION,https://www.ygcollection.com,Fashion,15% per order,30,99.03%,32.45%,2.46,2861,2976,4288,+49.9%,Cho phép,https://af.uppromote.com/ygcollection/register,Toàn cầu (Không giới hạn)
268478,PECRON,https://www.pecron.no,Electronics,15% per order,180,0%,32.14%,,4402,5196,5787,+31.5%,Cho phép,https://af.uppromote.com/percon-new/register,Toàn cầu (Không giới hạn)
165060,ElkoyTCG,https://elkoytcg.com,Toys & Hobbies,10% per order,30,57.32%,31.91%,2.93,37044,44851,56256,+51.9%,Cho phép,https://af.uppromote.com/elkoytcg/register,Toàn cầu (Không giới hạn)
120221,ZNOOZ,https://www.znoozbeds.com/,Pet supplies,20% per order,30,78.77%,29.33%,3.82,9023,10601,19735,+118.7%,Cho phép,https://af.uppromote.com/znoozbeds/register,Toàn cầu (Không giới hạn)
86826,Good Bru,https://goodbru.com,"Beauty & Health, Grocery & Food, Wellness & Lifestyle",15% per order,30,95.81%,28.57%,3.1,18303,27665,40571,+121.7%,Cho phép,https://af.uppromote.com/good-bru/register,Toàn cầu (Không giới hạn)
264819,TYH Boutique,https://tyhboutique.com,Apparel & Accessories,10% per order,30,100%,27.78%,2.19,23026,27242,36235,+57.4%,Cho phép,https://af.uppromote.com/tyhbtq/register,Toàn cầu (Không giới hạn)
201112,En Love Beauty,https://enlovebeauty.com,Beauty & Health,15% per order,60,0%,27.78%,1.19,4256,7760,7779,+82.8%,Cho phép,https://af.uppromote.com/40a3ac-2/register,United States
286270,Moleaway,https://moleaway.de,Garden & Outdoors,30% per order,30,No data yet,26.09%,,1279,2403,2745,+114.6%,Cho phép,https://af.uppromote.com/b36746-fa/register,Toàn cầu (Không giới hạn)
196196,The Rabbit Company,https://www.therabbitcompany.com,"Others, Adult products",10% per order,30,11.11%,24.72%,1.96,23460,51914,58484,+149.3%,Cho phép,https://af.uppromote.com/the-rabbit-company-com/register,Toàn cầu (Không giới hạn)
253585,AllSportsWearUSA,https://allsportswearusa.com,"Sporting Goods, Luggage & Bags, Apparel & Accessories",10% per order,30,33.33%,24.55%,3.29,23104,26096,26539,+14.9%,Cho phép,https://af.uppromote.com/63bef3-2/register,Toàn cầu (Không giới hạn)
259516,Luna & Eve,https://lunaandeve.com,Baby & Toddler,8% per order,30,100%,24.49%,2.12,17457,17910,32755,+87.6%,Cho phép,https://af.uppromote.com/lunaandeve/register,Toàn cầu (Không giới hạn)
261890,Mattress Supermarket,https://www.mattresssupermarket.co.uk,Furniture,12% per order,30,10.26%,23.75%,2.92,49915,58567,65270,+30.8%,Cho phép,https://af.uppromote.com/3z0kk9-9j/register,Toàn cầu (Không giới hạn)
271951,Furia Furniture,https://furiafurniture.com,Furniture,10% per order,30,0%,23.53%,,195,1209,1676,+759.5%,Cho phép,https://af.uppromote.com/hwekis-r6/register,Toàn cầu (Không giới hạn)
204578,PRODUCT WORLD USA,https://productworldusa.com,"Others, Sports & Entertainment, Garden & Outdoors",10% per order,30,No data yet,23.08%,0.85,823,2107,2111,+156.5%,Cho phép,https://af.uppromote.com/productworldusa/register,Toàn cầu (Không giới hạn)
209284,Cloud Cola,https://cloudcolastore.com,Grocery & Food,20% per order,60,0%,20.69%,1.94,3148,4138,4880,+55.0%,Cho phép,https://af.uppromote.com/cloucola/register,United States
190774,Saltwater Picnic Co.,https://saltwaterpicnic.co,"Garden & Outdoors, Others",10% per order,30,87.17%,20.45%,1.79,11414,17204,31198,+173.3%,Cho phép,https://af.uppromote.com/saltwater-picnic-co/register,Toàn cầu (Không giới hạn)
263078,Local Love By Lauren,https://locallovebylauren.com,Apparel & Accessories,7% per order,30,100%,20%,1.32,993,1679,1683,+69.5%,Cho phép,https://af.uppromote.com/d192c0-48/register,Toàn cầu (Không giới hạn)
281464,Nautical Lake Art,https://lakeart.com,Garden & Outdoors,15% per order,30,No data yet,19.23%,,10273,13300,21485,+109.1%,Cho phép,https://af.uppromote.com/beneath-the-sail/register,Toàn cầu (Không giới hạn)
255913,3 Baristas Coffee Roasters,https://3baristasorganic.com,"Food, Beverages & Tobacco",12% per order,30,No data yet,19.05%,1.17,126,778,1581,+1154.8%,Cho phép,https://af.uppromote.com/3-baristas-coffee/register,Toàn cầu (Không giới hạn)
197138,RYPT,https://ryptfit.com/products/gryp,Sports & Entertainment,15% per order,30,81.28%,18.87%,2.82,5788,8278,10373,+79.2%,Cho phép,https://af.uppromote.com/ryptfit/register,Toàn cầu (Không giới hạn)
284478,Rivgent,https://www.rivgent.com,"Fashion, Sports & Entertainment",5% per order,7,No data yet,18.18%,,0,1200,2731,+273100.0%,Cho phép,https://af.uppromote.com/j1sdki-1p/register,Toàn cầu (Không giới hạn)
250367,MWE360 photo booth,https://www.mwe360.com,Cameras & Optics,5% per order,30,No data yet,18%,1.56,2481,3263,5787,+133.3%,Cho phép,https://af.uppromote.com/marvel-technology-store/register,Toàn cầu (Không giới hạn)
189135,Campus Greek Fit,https://campusgreekfit.com,"Home & Tools, Retail & Consumer goods, Art",8% per order,30,100%,16.67%,1.67,2007,2601,4332,+115.8%,Cho phép,https://af.uppromote.com/campusgreekfit/register,United States
270656,Xenon Smart,https://shop.xenonsmart.com,Electronics,3% per order,30,No data yet,16%,,35147,35962,42803,+21.8%,Cho phép,https://marketing.xenonsmart.com/xenonsmart/register,Toàn cầu (Không giới hạn)
129824,Brace Direct,https://bracedirect.com,Beauty & Health,20% per order,30,63.01%,15.27%,3.3,70068,86806,104538,+49.2%,Cho phép,https://af.uppromote.com/bracedirect/register,"Albania, Algeria, American Samoa, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, British Antarctic Territory, British Indian Ocean Territory, British Virgin Islands, Brunei, Bulgaria, Burkina Faso, Burundi, Canada, Canton and Enderbury Islands, Cape Verde, Cayman Islands, Chad, Chile, China, Christmas Island, Cocos [Keeling] Islands, Colombia, Comoros, Congo - Brazzaville, Congo - Kinshasa, Cook Islands, Costa Rica, Croatia, Cuba, Cyprus, Czech Republic, Côte d’Ivoire, Denmark, Djibouti, Dominica, Dominican Republic, Dronning Maud Land, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Ethiopia, Falkland Islands, Faroe Islands, Fiji, Finland, France, French Guiana, French Polynesia, French Southern Territories, French Southern and Antarctic Territories, Gabon, Gambia, Georgia, Germany, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guam, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Honduras, Hong Kong SAR China, Hungary, Iceland, India, Indonesia, Ireland, Isle of Man, Israel, Italy, Jamaica, Japan, Jersey, Johnston Island, Jordan, Kazakhstan, Kiribati, Kyrgyzstan, Laos, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Macau SAR China, Macedonia, Madagascar, Malawi, Malaysia, Maldives, Mali, Malta, Marshall Islands, Martinique, Mauritania, Mauritius, Mayotte, Metropolitan France, Mexico, Micronesia, Midway Islands, Moldova, Monaco, Mongolia, Montenegro, Montserrat, Morocco, Mozambique, Myanmar [Burma], Namibia, Nauru, Nepal, Netherlands, Netherlands Antilles, Neutral Zone, New Caledonia, New Zealand, Nicaragua, Niue, Norfolk Island, North Korea, Northern Mariana Islands, Norway, Pacific Islands Trust Territory, Pakistan, Palau, Palestinian Territories, Panama, Panama Canal Zone, Papua New Guinea, Paraguay, People's Democratic Republic of Yemen, Peru, Philippines, Pitcairn Islands, Poland, Portugal, Puerto Rico, Romania, Russia, Rwanda, Réunion, Saint Barthélemy, Saint Helena, Saint Kitts and Nevis, Saint Lucia, Saint Martin, Saint Pierre and Miquelon, Saint Vincent and the Grenadines, Samoa, San Marino, Senegal, Serbia, Serbia and Montenegro, Seychelles, Sierra Leone, Singapore, Slovakia, Slovenia, Solomon Islands, Somalia, South Africa, South Georgia and the South Sandwich Islands, South Korea, Spain, Sri Lanka, Sudan, Suriname, Svalbard and Jan Mayen, Swaziland, Sweden, Switzerland, Syria, São Tomé and Príncipe, Taiwan, Tajikistan, Tanzania, Thailand, Timor-Leste, Togo, Tokelau, Tonga, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Tuvalu, U.S. Minor Outlying Islands, U.S. Miscellaneous Pacific Islands, U.S. Virgin Islands, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Unknown or Invalid Region, Uruguay, Uzbekistan, Vanuatu, Vatican City, Venezuela, Vietnam, Wake Island, Wallis and Futuna, Western Sahara, Yemen, Zambia, Zimbabwe"
242696,UTV Mountain Accessories,https://www.utvmountainaccessories.com,Vehicles & Parts,10% per order,30,0%,14.29%,2.07,3304,3327,3808,+15.3%,Cho phép,https://af.uppromote.com/utvma/register,Toàn cầu (Không giới hạn)
96989,Otway & Orford,https://www.otwayorford.co.uk,Fashion,10% per order,30,100%,12.2%,1.25,273,2605,3498,+1181.3%,Cho phép,https://af.uppromote.com/otway-orford/register,Toàn cầu (Không giới hạn)
41219,Sunny Health & Fitness,https://sunnyhealthfitness.com/?nb_platform=uppromote,"Beauty & Health, Sports & Entertainment, Home & Tools",Up to 15%,30,94.78%,11.8%,3.35,279453,322221,341454,+22.2%,Cho phép,https://af.uppromote.com/sunny-health-fitness/register,Toàn cầu (Không giới hạn)
256530,Goldie Links,https://goldie-links.com,Apparel & Accessories,10% per order,30,No data yet,11.63%,1.92,115,546,2994,+2503.5%,Cho phép,https://af.uppromote.com/goldie-links/register,Toàn cầu (Không giới hạn)
217467,Zellart Canvas Prints,https://www.zellart.com,"Home & Tools, Art",30% per order,30,No data yet,9.68%,1.02,2614,3928,4320,+65.3%,Cho phép,https://af.uppromote.com/zellartco/register,Toàn cầu (Không giới hạn)
104979,GPS Training,https://gpstraining.co.uk,"Garden & Outdoors, Electronics",4% per order,30,95.79%,8.38%,2.33,34228,34662,42857,+25.2%,Cho phép,https://af.uppromote.com/gps-training/register,Toàn cầu (Không giới hạn)
201925,Bluapple,https://thebluapple.com,"Grocery & Food, Others",10% per order,30,99.55%,7.69%,3.65,5837,7118,14397,+146.7%,Cho phép,https://af.uppromote.com/bluapple/register,United States
71257,Pam Pam Plant-based Asian Meals,https://pampam.com.au,Grocery & Food,10% per order,30,100%,7.21%,1.62,14356,18135,19448,+35.5%,Cho phép,https://af.uppromote.com/pam-pam/register,Toàn cầu (Không giới hạn)
255102,casaleo,https://casaleo.store,Apparel & Accessories,10% per order,30,No data yet,6.06%,1.67,1820,1922,2173,+19.4%,Cho phép,https://af.uppromote.com/casaleo/register,Toàn cầu (Không giới hạn)
191939,Hofgut Stöcken,https://www.hofgut-stoecken.de,Grocery & Food,10% per order,30,82.69%,5.33%,1.96,12068,14911,24567,+103.6%,Cho phép,https://af.uppromote.com/teststoresplothe/register,Toàn cầu (Không giới hạn)
246822,EBIKECAN,https://www.ebikecan.ca,"Vehicles & Parts, Sporting Goods",5% per order,30,No data yet,1.85%,1.17,5204,5532,5971,+14.7%,Cho phép,https://af.uppromote.com/64661d-2/register,Toàn cầu (Không giới hạn)
198270,Follicly,https://follicly.com,Beauty & Health,20% per order,30,64.1%,0%,3.08,39194,43036,72779,+85.7%,Cho phép,https://af.uppromote.com/follicly/register,Toàn cầu (Không giới hạn)
125995,BEVIGOR,https://www.bevigor.com,"Home & Tools, Retail & Consumer goods",10% per order,30,No data yet,No data yet,0.94,2850,4626,5080,+78.2%,Cho phép,https://af.uppromote.com/bevigor/register,Toàn cầu (Không giới hạn)
257804,isetta.shop,https://www.isetta.shop,Apparel & Accessories,12% per order,30,No data yet,0%,0.92,707,1141,2710,+283.3%,Cho phép,https://af.uppromote.com/iexjwu-up/register,Toàn cầu (Không giới hạn)
278928,Smirk®,https://getsmirk.com,Beauty & Health,40% per order,30,No data yet,0%,,10402,12488,19013,+82.8%,Cho phép,https://af.uppromote.com/get-smirk/register,Toàn cầu (Không giới hạn)
277546,CocoTaps,https://cocolovewater.com,"Grocery & Food, Beauty & Health",13% per order,30,No data yet,0%,,4763,9064,12368,+159.7%,Cho phép,https://af.uppromote.com/cocotaps/register,Toàn cầu (Không giới hạn)
264151,Spoiler Golf,https://spoilergolf.com,Sporting Goods,15% per order,30,No data yet,0%,,1797,7124,7333,+308.1%,Cho phép,https://af.uppromote.com/spoilerputter/register,Toàn cầu (Không giới hạn)
285701,Isola,https://isolaworld.com,Fashion,15% per order,30,No data yet,No data yet,,162,2265,2647,+1534.0%,Cho phép,https://af.uppromote.com/xsmcwa-i9/register,Toàn cầu (Không giới hạn)
284157,Backyard Pyre,https://backyardpyre.com,"Garden & Outdoors, Furniture",11% per order,30,No data yet,No data yet,,296,1048,2464,+732.4%,Cho phép,https://af.uppromote.com/zr1qsz-xn/register,Toàn cầu (Không giới hạn)
